rows (observed station-days with outcome): 266,088
episodes:
            events         ws         we
episode                                 
1             4251 2015-05-14 2015-05-24
2             4282 2015-07-12 2015-08-22
3             4309 2015-11-07 2015-12-07
4        4378+4382 2016-07-04 2016-08-29
5             4459 2017-03-27 2017-04-21
6             4483 2017-05-30 2017-07-06
7        4507+4508 2017-08-07 2017-08-29
8             4665 2018-07-30 2018-08-13
9             4673 2018-08-29 2018-09-10
done spatial=m3
done spatial=c
done spatial=x3

== JJAS all | trained on all days | n=81,556 base rate 0.123
      model   bss  bss_lo  bss_hi   auc  auc_lo  auc_hi
       clim 0.000   0.000   0.000 0.499   0.480   0.519
        imd 0.007   0.005   0.008 0.529   0.510   0.548
      imd48 0.004   0.003   0.005 0.518   0.499   0.537
  imd_lag02 0.009   0.007   0.010 0.536   0.519   0.553
     pers_1 0.024   0.021   0.027 0.563   0.547   0.579
     aifs_1 0.003   0.002   0.004 0.514   0.494   0.534
aifs_pers_1 0.025   0.023   0.029 0.571   0.555   0.587
     pers_2 0.005   0.004   0.006 0.516   0.499   0.536
     aifs_2 0.003   0.002   0.004 0.513   0.494   0.532
aifs_pers_2 0.008   0.006   0.009 0.528   0.511   0.549
   aifs48_2 0.001   0.001   0.002 0.507   0.488   0.526
     pers_3 0.002   0.002   0.003 0.506   0.489   0.527
     aifs_3 0.003   0.001   0.004 0.513   0.494   0.533
aifs_pers_3 0.005   0.004   0.006 0.520   0.503   0.540
   aifs48_3 0.001   0.001   0.002 0.507   0.488   0.526
     pers_4 0.001   0.001   0.001 0.501   0.483   0.522
     aifs_4 0.002   0.001   0.003 0.512   0.493   0.531
aifs_pers_4 0.003   0.002   0.004 0.514   0.495   0.534
   aifs48_4 0.001   0.000   0.002 0.506   0.487   0.525
     pers_5 0.001   0.001   0.001 0.501   0.484   0.522
     aifs_5 0.002   0.001   0.003 0.511   0.492   0.530
aifs_pers_5 0.003   0.002   0.004 0.513   0.495   0.533
   aifs48_5 0.001   0.000   0.002 0.506   0.487   0.525

== JJAS event windows | trained on all days | n=2,098 base rate 0.131
      model   bss  bss_lo  bss_hi   auc  auc_lo  auc_hi
       clim 0.000   0.000   0.000 0.514   0.450   0.578
        imd 0.005  -0.003   0.012 0.532   0.474   0.590
      imd48 0.003  -0.004   0.008 0.518   0.461   0.575
  imd_lag02 0.007  -0.001   0.014 0.541   0.483   0.600
     pers_1 0.017   0.004   0.031 0.578   0.525   0.632
     aifs_1 0.004  -0.002   0.009 0.531   0.471   0.588
aifs_pers_1 0.021   0.006   0.035 0.587   0.536   0.638
     pers_2 0.003  -0.001   0.009 0.512   0.450   0.570
     aifs_2 0.004  -0.002   0.008 0.525   0.467   0.583
aifs_pers_2 0.007   0.001   0.013 0.528   0.474   0.585
   aifs48_2 0.002  -0.003   0.005 0.518   0.457   0.578
     pers_3 0.004   0.001   0.006 0.511   0.447   0.571
     aifs_3 0.003  -0.003   0.008 0.524   0.467   0.582
aifs_pers_3 0.007   0.001   0.011 0.529   0.474   0.586
   aifs48_3 0.002  -0.003   0.005 0.519   0.459   0.579
     pers_4 0.002   0.001   0.003 0.516   0.453   0.578
     aifs_4 0.003  -0.003   0.007 0.523   0.465   0.581
aifs_pers_4 0.005  -0.001   0.010 0.528   0.471   0.589
   aifs48_4 0.001  -0.003   0.005 0.517   0.457   0.577
     pers_5 0.001   0.000   0.003 0.509   0.446   0.570
     aifs_5 0.003  -0.004   0.008 0.523   0.464   0.582
aifs_pers_5 0.004  -0.002   0.009 0.527   0.470   0.586
   aifs48_5 0.001  -0.003   0.005 0.516   0.458   0.576

== event days | trained on event-only | n=1,849 base rate 0.123
      model    bss  bss_lo  bss_hi   auc  auc_lo  auc_hi
       clim  0.000   0.000   0.000 0.540   0.481   0.616
        imd  0.002  -0.004   0.007 0.553   0.506   0.623
      imd48 -0.001  -0.007   0.004 0.542   0.491   0.612
  imd_lag02  0.000  -0.005   0.004 0.548   0.505   0.617
     pers_1  0.011   0.000   0.022 0.585   0.542   0.642
     aifs_1  0.009  -0.000   0.019 0.572   0.513   0.650
aifs_pers_1  0.017   0.006   0.032 0.608   0.563   0.673
     pers_2 -0.001  -0.007   0.002 0.532   0.476   0.605
     aifs_2  0.009  -0.001   0.021 0.572   0.512   0.651
aifs_pers_2  0.007  -0.003   0.019 0.564   0.504   0.641
   aifs48_2  0.003  -0.003   0.007 0.552   0.496   0.631
     pers_3 -0.001  -0.011   0.005 0.539   0.473   0.610
     aifs_3  0.008   0.000   0.018 0.569   0.511   0.652
aifs_pers_3  0.006  -0.001   0.014 0.570   0.509   0.646
   aifs48_3  0.003  -0.003   0.008 0.554   0.496   0.631
     pers_4  0.002  -0.006   0.008 0.548   0.489   0.614
     aifs_4  0.008  -0.001   0.018 0.566   0.507   0.648
aifs_pers_4  0.009  -0.000   0.018 0.572   0.513   0.648
   aifs48_4  0.003  -0.003   0.007 0.552   0.493   0.631
     pers_5  0.003  -0.005   0.009 0.549   0.491   0.620
     aifs_5  0.010  -0.003   0.021 0.571   0.507   0.655
aifs_pers_5  0.012  -0.000   0.023 0.579   0.514   0.657
   aifs48_5  0.004  -0.003   0.010 0.557   0.494   0.639

== event windows | trained on all days | n=2,508 base rate 0.123
      model   bss  bss_lo  bss_hi   auc  auc_lo  auc_hi
       clim 0.000   0.000   0.000 0.538   0.492   0.615
        imd 0.007  -0.005   0.016 0.568   0.519   0.633
      imd48 0.004  -0.007   0.013 0.555   0.506   0.626
  imd_lag02 0.007  -0.004   0.015 0.574   0.529   0.633
     pers_1 0.018   0.001   0.033 0.604   0.552   0.665
     aifs_1 0.007  -0.003   0.014 0.565   0.517   0.644
aifs_pers_1 0.022   0.004   0.040 0.620   0.567   0.681
     pers_2 0.003  -0.007   0.011 0.554   0.491   0.623
     aifs_2 0.006  -0.003   0.013 0.561   0.512   0.641
aifs_pers_2 0.008  -0.003   0.021 0.572   0.511   0.639
   aifs48_2 0.004  -0.004   0.010 0.551   0.502   0.630
     pers_3 0.004  -0.002   0.009 0.553   0.509   0.623
     aifs_3 0.006  -0.003   0.013 0.559   0.512   0.638
aifs_pers_3 0.009  -0.004   0.020 0.572   0.528   0.641
   aifs48_3 0.004  -0.004   0.010 0.550   0.501   0.630
     pers_4 0.004   0.001   0.007 0.554   0.505   0.625
     aifs_4 0.006  -0.003   0.012 0.557   0.510   0.636
aifs_pers_4 0.010   0.002   0.016 0.570   0.519   0.642
   aifs48_4 0.004  -0.004   0.009 0.548   0.499   0.627
     pers_5 0.003   0.001   0.007 0.551   0.502   0.625
     aifs_5 0.006  -0.003   0.012 0.557   0.509   0.637
aifs_pers_5 0.009  -0.001   0.016 0.569   0.517   0.644
   aifs48_5 0.004  -0.004   0.009 0.548   0.499   0.629

== event windows | trained on event-only | n=2,508 base rate 0.123
      model    bss  bss_lo  bss_hi   auc  auc_lo  auc_hi
       clim  0.000   0.000   0.000 0.538   0.491   0.612
        imd  0.004  -0.006   0.011 0.562   0.515   0.630
      imd48  0.001  -0.008   0.007 0.549   0.500   0.623
  imd_lag02  0.002  -0.011   0.009 0.556   0.510   0.621
     pers_1  0.014   0.002   0.024 0.591   0.539   0.656
     aifs_1  0.008   0.004   0.013 0.573   0.530   0.648
aifs_pers_1  0.020   0.006   0.035 0.615   0.566   0.683
     pers_2 -0.003  -0.011   0.001 0.529   0.482   0.604
     aifs_2  0.008   0.003   0.014 0.570   0.527   0.647
aifs_pers_2  0.006   0.001   0.013 0.562   0.519   0.639
   aifs48_2  0.003  -0.001   0.007 0.555   0.509   0.632
     pers_3  0.001  -0.012   0.007 0.542   0.491   0.609
     aifs_3  0.007   0.002   0.014 0.569   0.527   0.643
aifs_pers_3  0.007   0.002   0.014 0.573   0.529   0.643
   aifs48_3  0.003  -0.001   0.008 0.557   0.510   0.631
     pers_4  0.004  -0.007   0.009 0.553   0.503   0.625
     aifs_4  0.007   0.002   0.012 0.567   0.524   0.639
aifs_pers_4  0.010   0.004   0.017 0.577   0.532   0.649
   aifs48_4  0.003  -0.001   0.007 0.553   0.508   0.630
     pers_5  0.002  -0.007   0.007 0.548   0.502   0.618
     aifs_5  0.008   0.001   0.014 0.572   0.526   0.647
